
=======================================================
[INFO] TANGGAL & WAKTU EKSEKUSI SIMULASI : 2026-06-09 16:04:08
=======================================================

=======================================================
[INFO] Skenario Range / Pathloss Degradation (Wi-Fi 7)
=======================================================
[SPESIFIKASI SIMULASI]
- Standar Wi-Fi     : Wi-Fi 7 (802.11be)
- Konfigurasi MIMO  : 8x8 Spatial Streams
- Fitur Spesial     : Multi-Link Operation (MLO) Aktif
    * Link 0        : Frekuensi 5 GHz (Lebar Pita 160 MHz)
    * Link 1        : Frekuensi 6 GHz (Lebar Pita 320 MHz)
- Tx Power          : 20.0 dBm
- Rate Adaptation   : IdealWifiManager (Otomatis menyesuaikan hingga 4096-QAM)
- Propagation Model : HybridBuildingsPropagationLossModel (Redaman Tembok/Indoor)
- Jarak Uji         : 0 hingga 300 meter
=======================================================

[INFO] Waktu: 0.2s | Jarak: 1 m | RSSI: -5.71343 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 0
[INFO] Waktu: 13.6s | Jarak: 135 m | RSSI: -58.2787 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 84925
[INFO] Waktu: 13.8s | Jarak: 137 m | RSSI: -58.5281 dBm | Tput: 627.72 Mbps | Delay: 793.091 ms | Jitter: 0.111902 ms | Drop: 74912
[INFO] Waktu: 14s | Jarak: 139 m | RSSI: -58.7798 dBm | Tput: 1009.97 Mbps | Delay: 174.574 ms | Jitter: 0.0502261 ms | Drop: 68066
[INFO] Waktu: 14.2s | Jarak: 141 m | RSSI: -59.028 dBm | Tput: 823.496 Mbps | Delay: 159.832 ms | Jitter: 0.0226881 ms | Drop: 69957
[INFO] Waktu: 14.4s | Jarak: 143 m | RSSI: -59.2788 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 84926
[INFO] Waktu: 14.6s | Jarak: 145 m | RSSI: -59.5201 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 84925
[INFO] Waktu: 14.8s | Jarak: 147 m | RSSI: -59.7519 dBm | Tput: 747.54 Mbps | Delay: 584.421 ms | Jitter: 0.0988731 ms | Drop: 73069
[INFO] Waktu: 15s | Jarak: 149 m | RSSI: -59.9867 dBm | Tput: 714.685 Mbps | Delay: 159.94 ms | Jitter: 0.0226649 ms | Drop: 71907
[INFO] Waktu: 15.2s | Jarak: 151 m | RSSI: -60.2245 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 84925
[INFO] Waktu: 15.4s | Jarak: 153 m | RSSI: -60.4531 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 84926
[INFO] Waktu: 15.6s | Jarak: 155 m | RSSI: -60.6725 dBm | Tput: 859.059 Mbps | Delay: 527.902 ms | Jitter: 0.0888134 ms | Drop: 71024
[INFO] Waktu: 15.8s | Jarak: 157 m | RSSI: -60.9014 dBm | Tput: 326.431 Mbps | Delay: 159.52 ms | Jitter: 0.0229637 ms | Drop: 78652
[INFO] Waktu: 16s | Jarak: 159 m | RSSI: -61.1213 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 84926
[INFO] Waktu: 16.2s | Jarak: 161 m | RSSI: -61.3323 dBm | Tput: 257.894 Mbps | Delay: 640.262 ms | Jitter: 0.134074 ms | Drop: 81301
[INFO] Waktu: 16.4s | Jarak: 163 m | RSSI: -61.5529 dBm | Tput: 351.101 Mbps | Delay: 640.249 ms | Jitter: 0.0233886 ms | Drop: 78165
[INFO] Waktu: 16.6s | Jarak: 165 m | RSSI: -61.7648 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 84925
[INFO] Waktu: 16.8s | Jarak: 167 m | RSSI: -61.9679 dBm | Tput: 141.901 Mbps | Delay: 806.999 ms | Jitter: 0.423456 ms | Drop: 82436
[INFO] Waktu: 17s | Jarak: 169 m | RSSI: -62.1809 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 84926
[INFO] Waktu: 17.2s | Jarak: 171 m | RSSI: -62.3852 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 84925
[INFO] Waktu: 17.4s | Jarak: 173 m | RSSI: -62.5872 dBm | Tput: 154.266 Mbps | Delay: 1120.9 ms | Jitter: 0.209402 ms | Drop: 82264
